date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:59	55956/55956	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:22%20GMT	http://nahartheme.com/tf/kinley-preview/checkout.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/checkout.html	(from http://nahartheme.com/tf/kinley-preview/)
12:08:59	41561/41561	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:29%20GMT	http://nahartheme.com/tf/kinley-preview/login.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/login.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:00	41101/41101	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:30%20GMT	http://nahartheme.com/tf/kinley-preview/register.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/register.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:00	49289/49289	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:20%20GMT	http://nahartheme.com/tf/kinley-preview/cart.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/cart.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:00	4420/4420	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20May%202018%2021:30:46%20GMT	http://nahartheme.com/tf/kinley-preview/assets/img/cart/1.jpg	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/assets/img/cart/1.jpg	(from http://nahartheme.com/tf/kinley-preview/)
12:09:01	110267/110267	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2022:26:21%20GMT	http://nahartheme.com/tf/kinley-preview/index-2.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/index-3.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:01	112166/112166	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:28%20GMT	http://nahartheme.com/tf/kinley-preview/index-3.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/index-4.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:02	107045/107045	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:38%20GMT	http://nahartheme.com/tf/kinley-preview/shop-page.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/shop-page.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:02	59379/59379	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:14%20GMT	http://nahartheme.com/tf/kinley-preview/about-us.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/about-us.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:03	44996/44996	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:23%20GMT	http://nahartheme.com/tf/kinley-preview/contact.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/contact.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:03	128350/128350	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:34%20GMT	http://nahartheme.com/tf/kinley-preview/shop-list.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/shop-list.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:04	75502/75502	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:38%20GMT	http://nahartheme.com/tf/kinley-preview/single-product.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/single-product.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:04	40444/40444	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:13%20GMT	http://nahartheme.com/tf/kinley-preview/404.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/404.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:05	49228/49228	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:16%20GMT	http://nahartheme.com/tf/kinley-preview/blog-page.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/blog-page.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:05	62339/62339	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:21%20GMT	http://nahartheme.com/tf/kinley-preview/blog-sidebar.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/blog-sidebar.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:05	62328/62328	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:18%20GMT	http://nahartheme.com/tf/kinley-preview/blog-right-sidebar.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/blog-right-sidebar.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:06	57098/57098	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20May%202018%2021:28:15%20GMT	http://nahartheme.com/tf/kinley-preview/blog-details.html	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/blog-details.html	(from http://nahartheme.com/tf/kinley-preview/)
12:09:15	48836/48836	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20May%202018%2021:32:02%20GMT	http://nahartheme.com/tf/kinley-preview/assets/img/shop/equal/1.jpg	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/assets/img/shop/equal/1.jpg	(from http://nahartheme.com/tf/kinley-preview/)
12:09:21	135598/135598	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20May%202018%2021:31:02%20GMT	http://nahartheme.com/tf/kinley-preview/assets/img/shop/1.jpg	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/assets/img/shop/1.jpg	(from http://nahartheme.com/tf/kinley-preview/)
12:09:22	42080/42080	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20May%202018%2021:32:09%20GMT	http://nahartheme.com/tf/kinley-preview/assets/img/shop/equal/2.jpg	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/assets/img/shop/equal/2.jpg	(from http://nahartheme.com/tf/kinley-preview/)
12:09:29	46782/46782	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20May%202018%2021:32:10%20GMT	http://nahartheme.com/tf/kinley-preview/assets/img/shop/equal/3.jpg	C:/My%20Web%20Sites/_(/nahartheme.com/tf/kinley-preview/assets/img/shop/equal/3.jpg	(from http://nahartheme.com/tf/kinley-preview/)
